id,stance_llm
0,non
1,anti
2,anti
3,pro
4,non
5,non
6,anti
7,non
8,non
9,non
10,anti
11,non
12,anti
13,anti
14,anti
15,non
16,non
17,non
18,non
19,non
20,non
21,anti
22,non
23,non
24,non
25,non
26,non
27,non
28,non
29,non
30,anti
31,pro
32,non
33,pro
34,anti
35,non
36,non
37,non
38,non
39,non
40,pro
41,non
42,anti
43,anti
44,anti
45,non
46,anti
47,anti
48,anti
49,non
50,non
51,non
52,non
53,anti
54,anti
55,NA
56,non
57,non
58,non
59,non
60,anti
61,pro
62,anti
63,non
64,non
65,non
66,non
67,non
68,non
69,anti
70,pro
71,anti
72,anti
73,anti
74,non
75,anti
76,non
77,anti
78,non
79,anti
80,pro
81,non
82,non
83,anti
84,anti
85,non
86,non
87,pro
88,anti
89,anti
90,non
91,non
92,non
93,non
94,non
95,pro
96,non
97,non
98,anti
99,pro
100,NA
101,non
102,non
103,anti
104,pro
105,pro
106,anti
107,anti
108,non
109,NA
110,non
111,non
112,NA
113,non
114,non
115,non
116,non
117,pro
118,non
119,non
120,non
121,non
122,anti
123,anti
124,non
125,non
126,non
127,pro
128,pro
129,anti
130,anti
131,anti
132,non
133,non
134,non
135,pro
136,non
137,anti
138,pro
139,anti
140,anti
141,non
142,non
143,anti
144,anti
145,anti
146,pro
147,anti
148,anti
149,non
150,non
151,non
152,pro
153,non
154,non
155,pro
156,anti
157,non
158,non
159,non
160,anti
161,non
162,non
163,non
164,anti
165,anti
166,pro
167,non
168,non
169,anti
170,non
171,non
172,non
173,pro
174,pro
175,non
176,anti
177,non
178,non
179,pro
180,pro
181,non
182,non
183,pro
184,non
185,non
186,pro
187,non
188,pro
189,non
190,pro
191,non
192,non
193,non
194,non
195,non
196,non
197,non
198,pro
199,pro
200,non
201,non
202,non
203,anti
204,anti
205,anti
206,non
207,non
208,non
209,non
210,non
211,non
212,non
213,non
214,non
215,non
216,non
217,non
218,non
219,non
220,anti
221,non
222,non
223,non
224,non
225,non
226,non
227,non
228,non
229,pro
230,anti
231,non
232,non
233,non
234,pro
235,anti
236,non
237,non
238,non
239,non
240,pro
241,non
242,non
243,pro
244,pro
245,pro
246,non
247,pro
248,anti
249,non
250,NA
251,non
252,pro
253,pro
254,non
255,non
256,non
257,pro
258,pro
259,non
260,non
261,non
262,non
263,pro
264,non
265,pro
266,pro
267,pro
268,non
269,non
270,non
271,non
272,non
273,pro
274,non
275,anti
276,non
277,non
278,non
279,pro
280,non
281,pro
282,non
283,non
284,non
285,pro
286,anti
287,non
288,non
289,pro
290,pro
291,pro
292,anti
293,non
294,pro
295,non
296,non
297,non
298,pro
299,NA
